timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701885013,1701885073,13.552631578947368,76,2,3,1,3,3,3,2,2,2,2,2,2,2,5,5,5,6,10,5,6,0,4,1,42.1438,23.9647,32.53120499999999,66.07832833333332,84925.9813,133906.2615,133.4669
1701885073,1701885133,14.35,60,3,4,0,2,2,2,1,1,2,2,2,2,2,2,2,2,2,10,7,4,1,5,0,39.1211,23.9646,39.52882666666666,66.36750166666666,79741.3546,134547.3434,139.5023
1701885133,1701885193,11.75,80,2,4,1,3,3,3,3,3,4,4,4,4,4,2,4,2,1,7,7,6,3,4,2,39.0736,23.9731,50.51692500000001,65.2379383333333,84163.8258,126914.6346,136.0183
1701885193,1701885253,13.03225806451613,62,3,4,1,3,2,2,2,2,1,1,1,1,1,4,4,4,4,6,5,4,1,4,2,41.094,23.9701,43.79668999999999,65.41629666666667,91834.1012,153778.5548,134.4805
1701885253,1701885313,11.909090909090908,66,2,4,1,2,2,2,2,2,3,3,3,3,4,2,3,1,2,9,6,4,2,3,1,36.8087,23.9807,49.222111666666656,65.18277833333335,66379.4158,104184.2203,138.8413
1701885313,1701885373,13.1125,80,2,6,2,2,2,2,2,2,2,2,2,2,2,4,6,4,4,10,9,5,2,4,2,42.6712,23.9867,38.754215,65.49283666666665,77178.6328,117589.1639,126.0687
1701885373,1701885433,13.242424242424242,66,2,7,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,6,9,4,3,4,2,39.3398,23.9989,33.90224833333334,64.80736,88683.3767,140148.0816,129.9475
1701885433,1701885493,13.537313432835822,67,3,6,1,2,2,2,2,2,2,2,2,2,2,1,4,2,2,7,7,4,3,5,2,42.0875,24.001,35.26614333333334,65.91454833333333,77285.022,123868.3219,131.6911
1701885493,1701885553,12.578125,64,3,5,1,3,3,3,3,3,3,3,2,2,2,2,3,2,2,4,4,4,0,6,1,39.9812,24.0092,39.65873,65.25742333333334,95807.5929,156791.2501,145.5395
1701885553,1701885613,11.68,75,0,1,0,3,4,4,4,4,4,4,4,5,5,2,3,3,3,7,4,7,1,3,0,38.596,24.0109,44.80018999999999,65.89001333333334,71763.8715,110102.264,140.3077
1701885613,1701885673,15.098360655737705,61,2,5,1,0,0,0,0,0,0,0,0,0,0,5,7,5,5,12,9,5,2,2,1,42.7567,24.0127,29.921253333333333,66.28314000000002,79830.1568,130392.7908,120.3951
1701885673,1701885733,12.5,62,3,8,2,1,1,2,2,2,2,2,2,2,2,0,1,0,1,9,9,2,3,4,2,37.1346,24.0031,31.59293333333333,65.83532999999998,79411.0543,121651.4166,131.4655
1701885733,1701885793,12.962962962962964,81,2,7,2,3,3,3,3,3,3,3,3,3,3,2,5,1,1,8,6,5,4,5,3,40.6271,23.9216,38.74149166666667,64.91496999999998,88257.9359,130095.6037,129.7348
1701885793,1701885853,14.492063492063492,63,5,7,3,2,2,1,1,1,1,1,1,1,1,4,4,3,3,4,4,4,0,7,3,42.8041,23.9008,37.75902333333332,64.72124,75017.4325,137944.6982,144.9562
1701885853,1701885913,10.977272727272727,88,1,2,0,5,5,5,5,6,6,6,6,6,6,1,2,2,2,4,4,7,1,6,0,38.8222,23.9109,43.79108333333334,65.50742166666667,93174.1743,137293.1292,145.722
1701885913,1701885973,14.964912280701755,57,0,3,0,1,1,1,1,1,1,1,1,1,1,5,7,5,5,8,3,7,2,1,1,43.8814,23.9381,38.507338333333344,65.93894833333333,78760.4302,137206.09,123.8607
