timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701835618,1701835678,104.06896551724138,29,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,4,8,0,1,0,30.5434,23.3661,21.23132833333332,69.86114,39935.4437,70650.9289,125.4899
1701835678,1701835738,95.22857142857143,35,1,1,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,9,0,1,0,36.5567,23.3561,20.668478333333333,70.00686333333333,56050.5233,74678.3108,124.886
1701835738,1701835798,95.41935483870968,31,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,4,8,1,1,0,31.5002,23.3553,23.932189999999995,69.59288000000001,37556.2316,63835.5362,123.397
1701835798,1701835858,90.5,36,1,1,0,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,9,1,2,0,37.8858,23.3603,20.980433333333334,69.49839333333335,61208.9718,97663.8612,130.382
1701835858,1701835919,78.62162162162163,37,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,3,8,0,1,0,33.1597,23.3361,23.650980000000008,69.55160000000001,33355.2514,52649.728,117.5003
1701835919,1701835979,75.06666666666666,30,1,3,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,5,6,1,1,1,35.0669,23.3218,17.366449999999993,68.79449499999997,63757.5761,96948.2918,117.6529
1701835979,1701836039,50.41509433962264,53,1,4,1,2,2,2,2,2,2,2,2,2,2,1,3,1,1,4,4,7,2,3,1,34.7169,23.3083,22.573275,68.63922666666666,73976.7166,108481.5616,120.24
1701836039,1701836099,58.47727272727273,44,3,5,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,7,0,3,2,35.9483,23.2798,31.194541666666662,69.954035,94794.4147,139680.9567,121.0635
1701836099,1701836160,56.43396226415094,53,1,3,0,3,3,3,3,3,3,3,3,3,3,1,1,1,0,1,2,8,1,4,0,34.5022,23.2763,31.40034333333333,69.95469833333333,73911.8389,100501.4682,122.9127
1701836160,1701836220,85.97142857142858,35,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,8,1,1,1,34.2821,23.2627,29.655555,70.04013833333333,44246.459,67282.5452,116.479
1701836220,1701836280,90.26666666666667,30,2,3,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,3,3,7,1,2,1,32.3843,23.2648,19.696343333333335,69.70442333333334,59000.2054,82884.9264,123.6956
1701836280,1701836340,124.3076923076923,26,1,2,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,1,9,0,1,1,30.6552,23.2554,23.79272166666667,69.07952,29170.1612,48120.224,133.2071
1701836340,1701836401,123.82758620689656,29,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,10,0,0,0,34.4934,23.2969,20.023366666666664,69.32154833333333,24135.9382,46348.8496,119.6545
1701836401,1701836461,146.3,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,8,0,1,0,33.057,23.3933,15.530501666666668,69.98988500000002,62503.9205,91044.9456,121.5536
